,epoch,i,num_batch,train_loss,accuracy
0,0.0,0.0,31.25,1.3621302843093872,0.3216051771585827
1,0.0,1.0,31.25,1.3338830471038818,0.3726887684898521
2,0.0,2.0,31.25,1.326156497001648,0.391296869625043
3,0.0,3.0,31.25,1.2704882621765137,0.3921676126590987
4,0.0,4.0,31.25,1.2209687232971191,0.42079463364293085
5,0.0,5.0,31.25,1.195854663848877,0.43137254901960786
6,0.0,6.0,31.25,1.1554758548736572,0.48231639146886823
7,0.0,7.0,31.25,1.0712834596633911,0.5463643790849673
8,0.0,8.0,31.25,1.0334562063217163,0.5994904540763674
9,0.0,9.0,31.25,0.9734301567077637,0.6273649810801514
10,0.0,10.0,31.25,0.92010498046875,0.6538097695218438
11,0.0,11.0,31.25,0.8395780920982361,0.72546869625043
12,0.0,12.0,31.25,0.858055055141449,0.6816197970416237
13,0.0,13.0,31.25,0.7265470623970032,0.7467642758857929
14,0.0,14.0,31.25,0.727277934551239,0.7324023907808738
15,0.0,15.0,31.25,0.7122518420219421,0.7347781217750258
16,0.0,16.0,31.25,0.6048322319984436,0.7827227382180942
17,0.0,17.0,31.25,0.643112301826477,0.7832064843481252
18,0.0,18.0,31.25,0.5943055748939514,0.7942251461988304
19,0.0,19.0,31.25,0.662110447883606,0.7630933952528379
20,0.0,20.0,31.25,0.6876347064971924,0.7467320261437909
21,0.0,21.0,31.25,0.5154074430465698,0.8179287065703474
22,0.0,22.0,31.25,0.5012654066085815,0.8221534227726178
23,0.0,23.0,31.25,0.5078192353248596,0.8332365841073271
24,0.0,24.0,31.25,0.5805874466896057,0.8057705538355693
25,0.0,25.0,31.25,0.4829367399215698,0.8359240626074992
26,0.0,26.0,31.25,0.5225216150283813,0.8139404884760922
27,0.0,27.0,31.25,0.5300695896148682,0.8097910216718266
28,0.0,28.0,31.25,0.4814685881137848,0.8214761781905745
29,0.0,29.0,31.25,0.5208110213279724,0.8043838149294805
30,0.0,30.0,31.25,0.5424566864967346,0.827485380116959
31,0.0,31.0,31.25,0.3406180441379547,0.22495270037839699
32,1.0,0.0,31.25,0.5242516994476318,0.81312349501204
33,1.0,1.0,31.25,0.44942528009414673,0.8440509975920193
34,1.0,2.0,31.25,0.40774595737457275,0.8574453904368765
35,1.0,3.0,31.25,0.3682180643081665,0.8740755073959409
36,1.0,4.0,31.25,0.4455415606498718,0.8386437908496732
37,1.0,5.0,31.25,0.38953930139541626,0.867077313381493
38,1.0,6.0,31.25,0.4783192276954651,0.8213149294805642
39,1.0,7.0,31.25,0.5956220626831055,0.7853887168902649
40,1.0,8.0,31.25,0.40665924549102783,0.8607241142070864
41,1.0,9.0,31.25,0.4239867329597473,0.841062521499828
42,1.0,10.0,31.25,0.3612026572227478,0.8765372377020983
43,1.0,11.0,31.25,0.47631433606147766,0.8255503955968352
44,1.0,12.0,31.25,0.4341607093811035,0.8461042311661506
45,1.0,13.0,31.25,0.3587489724159241,0.8754084967320261
46,1.0,14.0,31.25,0.45085573196411133,0.8411377708978328
47,1.0,15.0,31.25,0.45100823044776917,0.832688338493292
48,1.0,16.0,31.25,0.4706031084060669,0.8171977124183006
49,1.0,17.0,31.25,0.36012712121009827,0.8773864809081527
50,1.0,18.0,31.25,0.4520733952522278,0.8468352253181974
51,1.0,19.0,31.25,0.3447582423686981,0.8850296697626419
52,1.0,20.0,31.25,0.352416455745697,0.8699582903336773
53,1.0,21.0,31.25,0.30840039253234863,0.8921676126590987
54,1.0,22.0,31.25,0.35762327909469604,0.8714095287237702
55,1.0,23.0,31.25,0.3960550129413605,0.8543171654626763
56,1.0,24.0,31.25,0.3814125061035156,0.8696895424836601
57,1.0,25.0,31.25,0.461872398853302,0.8354188166494668
58,1.0,26.0,31.25,0.3582545816898346,0.8713342793257653
59,1.0,27.0,31.25,0.37323206663131714,0.8593158754729963
60,1.0,28.0,31.25,0.4330928325653076,0.854499914000688
61,1.0,29.0,31.25,0.42919498682022095,0.8410195218438252
62,1.0,30.0,31.25,0.3518451452255249,0.8710225318197454
63,1.0,31.0,31.25,0.31870388984680176,0.2200184898520812
64,2.0,0.0,31.25,0.4432329833507538,0.8478887168902649
65,2.0,1.0,31.25,0.3069429397583008,0.8885448916408669
66,2.0,2.0,31.25,0.3590531647205353,0.877827227382181
67,2.0,3.0,31.25,0.36198148131370544,0.8696787925696594
68,2.0,4.0,31.25,0.4033491611480713,0.8473834709322325
69,2.0,5.0,31.25,0.37493181228637695,0.8694745442036463
70,2.0,6.0,31.25,0.3359970152378082,0.8905121259029928
71,2.0,7.0,31.25,0.31607553362846375,0.8917376160990712
72,2.0,8.0,31.25,0.33589625358581543,0.8734950120399037
73,2.0,9.0,31.25,0.3324487805366516,0.8847716718266254
74,2.0,10.0,31.25,0.25987520813941956,0.9125709494324046
75,2.0,11.0,31.25,0.3788442611694336,0.8701302889576883
76,2.0,12.0,31.25,0.314626544713974,0.8922966116271069
77,2.0,13.0,31.25,0.3178296387195587,0.8928556071551428
78,2.0,14.0,31.25,0.3023148477077484,0.8920063639490884
79,2.0,15.0,31.25,0.35372066497802734,0.8692917956656346
80,2.0,16.0,31.25,0.34722232818603516,0.8739357585139319
81,2.0,17.0,31.25,0.4142037332057953,0.8538441692466461
82,2.0,18.0,31.25,0.23363058269023895,0.9190853973168215
83,2.0,19.0,31.25,0.38508838415145874,0.863938338493292
84,2.0,20.0,31.25,0.2971690893173218,0.9046267629858961
85,2.0,21.0,31.25,0.30878329277038574,0.8977790677674579
86,2.0,22.0,31.25,0.3561188578605652,0.878859219126247
87,2.0,23.0,31.25,0.34259313344955444,0.8775262297901617
88,2.0,24.0,31.25,0.2749268114566803,0.9053040075679395
89,2.0,25.0,31.25,0.2769090533256531,0.9077119883040936
90,2.0,26.0,31.25,0.3347967565059662,0.8808264533883728
91,2.0,27.0,31.25,0.43009713292121887,0.8327850877192983
92,2.0,28.0,31.25,0.3452617824077606,0.8786549707602339
93,2.0,29.0,31.25,0.3959769010543823,0.8630890952872377
94,2.0,30.0,31.25,0.2989174723625183,0.8982198142414861
95,2.0,31.0,31.25,0.3250916302204132,0.22289946680426556
96,3.0,0.0,31.25,0.2499026209115982,0.9158066735466116
97,3.0,1.0,31.25,0.2877599000930786,0.8965535775713794
98,3.0,2.0,31.25,0.39376598596572876,0.8538656690746474
99,3.0,3.0,31.25,0.3762178421020508,0.851468438252494
100,3.0,4.0,31.25,0.3958932161331177,0.8498344513243894
101,3.0,5.0,31.25,0.3340899348258972,0.8777627278981768
102,3.0,6.0,31.25,0.408243864774704,0.8559511523907809
103,3.0,7.0,31.25,0.3341969847679138,0.8862444100447197
104,3.0,8.0,31.25,0.3197830319404602,0.8854811661506707
105,3.0,9.0,31.25,0.3729129731655121,0.8762147402820778
106,3.0,10.0,31.25,0.35801783204078674,0.8751289989680082
107,3.0,11.0,31.25,0.26025399565696716,0.9112594599243206
108,3.0,12.0,31.25,0.38421592116355896,0.862562349501204
109,3.0,13.0,31.25,0.2502163052558899,0.9179781561747506
110,3.0,14.0,31.25,0.30662646889686584,0.8919203646370829
111,3.0,15.0,31.25,0.2652839422225952,0.9052287581699346
112,3.0,16.0,31.25,0.303410142660141,0.903390522875817
113,3.0,17.0,31.25,0.28872019052505493,0.8982090643274854
114,3.0,18.0,31.25,0.31879138946533203,0.8803104575163399
115,3.0,19.0,31.25,0.2787366211414337,0.9029497764017888
116,3.0,20.0,31.25,0.3324163854122162,0.8829871861025111
117,3.0,21.0,31.25,0.33756130933761597,0.877859477124183
118,3.0,22.0,31.25,0.28308072686195374,0.8940165978672171
119,3.0,23.0,31.25,0.29003623127937317,0.8942853457172343
120,3.0,24.0,31.25,0.327570378780365,0.8864271585827314
121,3.0,25.0,31.25,0.38062480092048645,0.8591976264189887
122,3.0,26.0,31.25,0.28824135661125183,0.9055297557619539
123,3.0,27.0,31.25,0.2635193467140198,0.9104209666322669
124,3.0,28.0,31.25,0.280403196811676,0.8969298245614035
125,3.0,29.0,31.25,0.2874091863632202,0.9017995356037152
126,3.0,30.0,31.25,0.2974782884120941,0.8911356209150327
127,3.0,31.0,31.25,0.28325310349464417,0.223952958376333
